"","LeverHeight","name","meanFinal","iqr","lowerQuantile","upperQuantile"
"1",1,"Qplus_final_1",191.441750821817,29.0310277103901,168.516268700862,197.547296411252
"2",1,"sigma_final_1",0.474951566753677,0.121640913786675,0.423013253438171,0.544654167224846
"3",1,"t_final_1",0.150003562870332,2.67019607880226e-06,0.150002206037799,0.150004876233878
"4",1,"w_final_1",9.42584923107723,3.55840391558334,7.80726122775895,11.3656651433423
"5",1,"z_final_1",1.78898777090759,1.86503990158976,1.22581836248567,3.09085826407543
"6",11,"Qplus_final_1",196.741799082822,50.401538280149,163.800816234988,214.202354515137
"7",11,"sigma_final_1",0.450387584066702,0.0694678167303456,0.406535198689908,0.476003015420254
"8",11,"t_final_1",0.150000000000105,1.0547118733939e-13,0.150000000000078,0.150000000000183
"9",11,"w_final_1",41.8973233214642,56.3622367517441,22.7891881569664,79.1514249087105
"10",11,"z_final_1",0.224800108891186,0.412246972925634,0.147311723893452,0.559558696819085
"11",18,"Qplus_final_1",192.811464750789,49.1488364266156,159.569961674419,208.718798101035
"12",18,"sigma_final_1",0.487004040192738,0.0824708318483275,0.431395483511939,0.513866315360267
"13",18,"t_final_1",0.150003562870332,2.67019607880226e-06,0.150002206037799,0.150004876233878
"14",18,"w_final_1",42.4984016357071,72.8192046062557,23.5391929337246,96.3583975399802
"15",18,"z_final_1",0.178343612789605,0.582781408328101,0.0982609909933081,0.681042399321409
